0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
27.41,13.88,18.5,38.32,17.59,34.87,16.97,29.66,17.4,22.79,17.66,21.18,18.08,20.88,18.08,18.63,18.27,17.69,17.55,18.0,17.12,17.56,16.73,16.88,16.65,17.04,16.4,17.04,16.09,17.13,15.95,17.28,15.76,17.42,15.51,17.85,15.35,18.07,15.08,17.95,14.56,18.28,14.68,18.2,14.66,17.88,14.56,18.04,14.41,17.0
28.52,10.84,16.53,38.39,13.0,34.08,11.54,28.67,11.89,20.44,12.01,18.06,12.62,17.15,12.66,14.34,12.92,12.98,12.33,13.03,12.09,12.32,11.84,11.34,11.82,11.5,11.86,11.29,11.48,11.44,11.61,11.51,11.49,11.71,11.46,12.16,11.4,12.31,11.26,12.28,10.76,12.61,11.05,12.52,11.06,12.25,11.06,12.43,11.02,11.38
29.75,13.0,19.56,40.94,15.96,36.56,13.37,31.47,12.87,23.9,12.79,21.45,12.96,20.49,12.8,17.29,12.88,15.68,12.06,15.78,11.57,14.62,11.08,13.46,11.05,13.38,10.83,13.03,10.5,13.21,10.43,12.95,10.3,12.85,10.13,13.07,10.05,13.37,9.86,12.99,9.42,13.38,9.63,13.17,9.64,12.72,9.6,12.8,9.58,11.62
28.95,12.35,20.8,41.6,18.24,37.91,15.93,33.17,15.5,25.68,15.48,23.59,15.57,22.86,15.34,19.76,15.36,18.24,14.25,18.44,13.54,17.4,12.88,16.22,12.83,16.23,12.34,15.89,11.97,16.09,11.64,15.85,11.4,15.77,11.01,16.01,10.83,16.37,10.42,15.88,9.84,16.36,9.92,16.1,9.87,15.54,9.71,15.61,9.61,14.22
29.63,13.65,23.15,43.36,20.33,40.27,18.24,35.56,17.86,28.04,17.83,25.76,17.91,25.02,17.66,22.02,17.7,20.65,16.42,20.93,15.58,19.98,14.88,18.81,14.83,18.87,14.26,18.54,13.9,18.8,13.6,18.56,13.34,18.52,12.84,18.8,12.73,19.17,12.24,18.69,11.58,19.15,11.69,18.86,11.66,18.28,11.47,18.35,11.39,16.81
28.95,14.56,23.61,43.43,20.75,40.67,19.59,36.0,19.76,28.29,20.0,25.77,20.37,25.04,20.17,22.36,20.34,21.34,19.01,21.74,18.18,21.09,17.48,20.07,17.47,20.31,16.97,20.1,16.55,20.42,16.43,20.34,16.18,20.48,15.68,20.98,15.64,21.29,15.12,21.0,14.31,21.41,14.56,21.17,14.57,20.64,14.38,20.75,14.32,19.07
29.25,17.34,25.3,44.51,22.63,42.05,21.84,37.42,22.21,30.02,22.48,27.3,22.93,26.68,22.72,24.09,22.95,23.24,21.55,23.8,20.66,23.22,19.91,22.32,19.87,22.57,19.34,22.48,18.92,22.81,18.84,22.8,18.59,22.97,18.01,23.54,18.01,23.87,17.45,23.62,16.57,24.0,16.86,23.78,16.88,23.23,16.69,23.36,16.63,21.56
31.1,18.1,25.54,45.31,22.77,41.99,20.93,37.44,20.8,30.2,20.72,27.69,20.93,26.96,20.69,23.9,20.78,22.6,19.6,23.02,18.83,22.08,18.17,21.07,18.1,21.12,17.66,20.93,17.31,21.17,17.19,21.02,16.99,21.01,16.58,21.36,16.55,21.71,16.14,21.33,15.53,21.72,15.75,21.5,15.74,20.92,15.64,21.01,15.59,19.42
31.04,17.54,24.04,44.88,20.99,40.93,18.86,36.16,18.72,28.87,18.64,26.19,18.93,25.4,18.69,22.06,18.82,20.59,17.68,21.01,16.95,19.94,16.28,18.9,16.21,18.89,15.85,18.72,15.45,18.94,15.41,18.79,15.24,18.76,14.88,19.11,14.87,19.47,14.51,19.1,13.88,19.48,14.18,19.28,14.18,18.68,14.13,18.77,14.09,17.12
32.17,16.11,23.27,45.5,19.76,41.17,16.82,36.1,16.32,28.4,16.33,25.83,16.55,24.94,16.31,21.31,16.42,19.54,15.25,19.8,14.55,18.53,13.85,17.3,13.83,17.23,13.47,16.9,13.03,17.11,12.95,16.83,12.78,16.73,12.48,17.02,12.43,17.39,12.13,16.92,11.52,17.35,11.81,17.11,11.83,16.44,11.77,16.51,11.76,14.84
29.83,14.63,23.48,44.78,21.8,41.77,20.28,36.76,20.45,28.95,20.8,27.04,21.2,26.53,21.03,23.53,21.19,22.22,19.75,22.59,18.87,21.85,18.08,20.75,18.08,20.98,17.49,20.77,16.97,21.02,16.69,20.97,16.33,21.1,15.82,21.65,15.66,21.95,15.05,21.62,14.14,22.1,14.31,21.86,14.25,21.17,13.98,21.27,13.9,19.35
31.56,17.54,26.45,47.16,24.49,44.65,22.91,39.69,23.0,31.98,23.2,29.92,23.53,29.44,23.31,26.47,23.47,25.21,21.89,25.64,20.91,24.9,20.09,23.8,20.04,24.0,19.36,23.79,18.87,24.06,18.56,23.99,18.19,24.08,17.58,24.57,17.45,24.92,16.77,24.54,15.83,25.01,15.99,24.75,15.93,24.0,15.64,24.09,15.58,22.06
